station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
GEG,2023-06-01,73.0,44.0,37.9,34.0,0.0,5.2138577,0.0,58.915524,GEG
GEG,2023-06-02,78.0,49.0,39.0,35.1,0.0,4.5186763,0.0,65.727455,GEG
GEG,2023-06-03,81.0,55.0,42.1,34.0,0.0,3.9972906,0.0,69.43105,GEG
GEG,2023-06-04,84.0,58.0,50.0,37.0,0.0,5.7352433,0.0,71.59369,GEG
GEG,2023-06-05,85.0,58.0,48.0,21.0,0.0,5.7352433,0.0,71.96029,GEG
GEG,2023-06-06,86.0,54.0,39.9,25.0,0.0,4.2579837,0.0,70.74014,GEG
GEG,2023-06-07,91.0,60.0,44.1,36.0,0.0,4.344881,0.0,74.75145,GEG
GEG,2023-06-08,84.0,62.0,61.0,37.0,0.38,5.387653,0.0,69.82619,GEG
GEG,2023-06-09,71.0,61.0,60.1,57.0,0.18,4.171086,0.0,64.47429,GEG
GEG,2023-06-10,73.0,57.0,59.0,48.0,0.0001,4.431779,0.0,63.353104,GEG
GEG,2023-06-11,80.0,54.0,55.9,50.0,0.0,3.7365978,0.0,68.2138,GEG
GEG,2023-06-12,87.0,62.0,57.0,51.1,0.0,5.387653,0.0,73.59342,GEG
GEG,2023-06-13,88.0,56.0,59.0,37.9,0.0,13.816722,0.0,72.30302,GEG
GEG,2023-06-14,67.0,51.0,46.0,34.0,0.01,12.165668,0.0,57.89302,GEG
GEG,2023-06-15,72.0,52.0,44.1,39.9,0.0,5.300755,0.0,61.73171,GEG
GEG,2023-06-16,81.0,51.0,52.0,39.0,0.0001,9.645637,0.0,66.90139,GEG
GEG,2023-06-17,74.0,55.0,50.0,36.0,0.0001,11.5573845,0.0,66.296165,GEG
GEG,2023-06-18,67.0,46.0,37.0,21.9,0.0001,16.42365,0.0,55.81747,GEG
GEG,2023-06-19,64.0,41.0,39.9,30.0,0.04,10.167022,0.0,50.938633,GEG
GEG,2023-06-20,57.0,45.0,44.1,34.0,0.06,6.95181,0.0,50.016468,GEG
GEG,2023-06-21,66.0,47.0,41.0,36.0,0.0,5.12696,0.0,56.182724,GEG
GEG,2023-06-22,75.0,48.0,44.1,33.1,0.0,5.12696,0.0,62.075504,GEG
GEG,2023-06-23,81.0,50.0,42.1,33.1,0.0,5.8221407,0.0,67.308105,GEG
GEG,2023-06-24,81.0,53.0,46.0,39.0,0.0001,6.5173216,0.0,68.15273,GEG
GEG,2023-06-25,84.0,57.0,48.0,36.0,0.0,4.605574,0.0,70.85031,GEG
GEG,2023-06-26,83.0,58.0,48.0,41.0,0.0,4.7793694,0.0,71.42841,GEG
GEG,2023-06-27,83.0,61.0,57.0,46.0,0.19,7.386298,0.0,69.911476,GEG
GEG,2023-06-28,84.0,59.0,55.9,48.9,0.0,4.431779,0.0,71.99536,GEG
GEG,2023-06-29,88.0,63.0,57.0,48.0,0.0,6.5173216,0.0,75.74169,GEG
GEG,2023-06-30,90.0,63.0,50.0,37.9,0.0,7.4731956,0.0,75.90978,GEG
GEG,2023-07-01,87.0,62.0,46.0,30.0,0.0,12.513258,0.0,73.91942,GEG
GEG,2023-07-02,82.0,58.0,39.9,21.9,0.0,6.3435264,0.0,70.29812,GEG
GEG,2023-07-03,82.0,54.0,34.0,21.9,0.0,7.0387077,0.0,70.053894,GEG
GEG,2023-07-04,85.0,54.0,41.0,33.1,0.0,6.082834,0.0,70.84958,GEG
GEG,2023-07-05,87.0,61.0,46.0,36.0,0.0,4.2579837,0.0,73.87546,GEG
GEG,2023-07-06,91.0,61.0,48.0,36.0,0.0,3.9972906,0.0,75.04353,GEG
GEG,2023-07-07,93.0,64.0,46.9,37.0,0.0,5.995936,0.0,77.64718,GEG
GEG,2023-07-08,95.0,67.0,48.0,39.0,0.0,5.12696,0.0,79.817726,GEG
GEG,2023-07-09,97.0,68.0,52.0,37.0,0.0,5.387653,0.0,80.39035,GEG
GEG,2023-07-10,80.0,59.0,59.0,45.0,0.12,8.081479,0.0,71.13164,GEG
GEG,2023-07-11,82.0,56.0,51.1,37.9,0.0,6.3435264,0.0,69.38178,GEG
GEG,2023-07-12,87.0,59.0,48.0,36.0,0.0,7.4731956,0.0,72.879875,GEG
GEG,2023-07-13,85.0,58.0,50.0,40.0,0.0,6.8649125,0.0,72.92986,GEG
GEG,2023-07-14,90.0,62.0,47.0,41.0,0.0,5.8221407,0.0,75.72415,GEG
GEG,2023-07-15,95.0,62.0,49.0,32.0,0.0,6.95181,0.0,78.40069,GEG
GEG,2023-07-16,97.0,65.0,44.0,34.0,0.0,6.3435264,0.0,79.829926,GEG
GEG,2023-07-17,82.0,62.0,48.0,34.0,0.0,15.554675,0.0,72.95974,GEG
GEG,2023-07-18,84.0,51.0,42.0,33.0,0.0,5.2138577,0.0,68.50428,GEG
GEG,2023-07-19,91.0,60.0,45.0,38.0,0.0,4.344881,0.0,75.03995,GEG
GEG,2023-07-20,97.0,63.0,48.0,35.0,0.0,3.6497002,0.0,78.9706,GEG
GEG,2023-07-21,96.0,67.0,52.0,41.0,0.0,7.0387077,0.0,80.012184,GEG
GEG,2023-07-22,91.0,64.0,43.0,35.0,0.0,9.12425,0.0,77.401985,GEG
GEG,2023-07-23,95.0,64.0,45.0,39.0,0.0,5.7352433,0.0,79.27959,GEG
GEG,2023-07-24,89.0,66.0,49.0,39.0,0.0001,10.9491005,0.0,75.69088,GEG
GEG,2023-07-25,80.0,60.0,51.0,28.0,0.0,12.252565,0.0,68.90702,GEG
GEG,2023-07-26,80.0,51.0,39.0,29.0,0.0,5.7352433,0.0,67.485016,GEG
GEG,2023-07-27,86.0,57.0,41.0,28.0,0.0,3.6497002,0.0,71.3684,GEG
GEG,2023-07-28,88.0,59.0,43.0,34.0,0.0,3.9972906,0.0,73.55064,GEG
GEG,2023-07-29,91.0,63.0,44.0,35.0,0.0,4.7793694,0.0,76.480156,GEG
GEG,2023-07-30,87.0,61.0,45.0,36.0,0.0,6.6911173,0.0,73.54117,GEG
GEG,2023-07-31,86.0,58.0,39.0,32.0,0.0,6.8649125,0.0,71.67985,GEG
