Hub,Model,Baseline_AUC,ANSP_AUC,DAUC,Init_AUC,Init_DAUC,Prop_adds
Large,XGBoost,0.735,0.7513,0.0163,0.7429,0.0079,0.0084
Large,RF,0.7112,0.7256,0.0144,0.7201,0.0089,0.0055
Large,BaggedLR,0.6565,0.7056,0.0491,0.6985,0.042,0.0071
Large,ANN,0.6942,0.733,0.0388,0.7211,0.0269,0.0119
Medium,XGBoost,0.7333,0.7683,0.035,0.7508,0.0175,0.0175
Medium,RF,0.7221,0.7719,0.0498,0.756,0.0339,0.0159
Medium,BaggedLR,0.6793,0.7183,0.039,0.7015,0.0222,0.0168
Medium,ANN,0.7096,0.7495,0.0399,0.7311,0.0215,0.0184
Small,XGBoost,0.7428,0.7597,0.0169,0.7445,0.0017,0.0152
Small,RF,0.7519,0.7812,0.0293,0.7608,0.0089,0.0204
Small,BaggedLR,0.6902,0.7126,0.0224,0.6973,0.0071,0.0153
Small,ANN,0.7184,0.7438,0.0254,0.7288,0.0104,0.015
All,XGBoost,0.7323,0.7529,0.0206,0.7432,0.0109,0.0097
All,RF,0.7149,0.7336,0.0187,0.7261,0.0112,0.0075
All,BaggedLR,0.6604,0.708,0.0476,0.697,0.0366,0.011
All,ANN,0.6939,0.7343,0.0404,0.7208,0.0269,0.0135
