Hub,Model,ANSP_DAUC,Zscore_DAUC,Prop_adds
Large,XGBoost,0.0163,0.0079,0.0084
Large,RF,0.0144,0.0089,0.0055
Large,BaggedLR,0.0491,0.042,0.0071
Large,ANN,0.0388,0.0269,0.0119
Medium,XGBoost,0.035,0.0175,0.0175
Medium,RF,0.0498,0.0339,0.0159
Medium,BaggedLR,0.039,0.0222,0.0168
Medium,ANN,0.0399,0.0215,0.0184
Small,XGBoost,0.0169,0.0017,0.0152
Small,RF,0.0293,0.0089,0.0204
Small,BaggedLR,0.0224,0.0071,0.0153
Small,ANN,0.0254,0.0104,0.015
All,XGBoost,0.0206,0.0109,0.0097
All,RF,0.0187,0.0112,0.0075
All,BaggedLR,0.0476,0.0366,0.011
All,ANN,0.0404,0.0269,0.0135
