Hub,Features,N_train,N_test
Large,Baseline+Centrality,272992,281665
Large,B+C+ANSP_2hr,272992,281665
Large,B+C+Init_2hr,272992,281665
Large,B+C+ANSP_3hr,272992,281665
Large,B+C+Init_3hr,272992,281665
Large,B+C+ANSP_6hr,272992,281665
Large,B+C+Init_6hr,272992,281665
Medium,Baseline+Centrality,54409,56661
Medium,B+C+ANSP_2hr,54409,56661
Medium,B+C+Init_2hr,54409,56661
Medium,B+C+ANSP_3hr,54409,56661
Medium,B+C+Init_3hr,54409,56661
Medium,B+C+ANSP_6hr,54409,56661
Medium,B+C+Init_6hr,54409,56661
Small,Baseline+Centrality,18429,19339
Small,B+C+ANSP_2hr,18429,19339
Small,B+C+Init_2hr,18429,19339
Small,B+C+ANSP_3hr,18429,19339
Small,B+C+Init_3hr,18429,19339
Small,B+C+ANSP_6hr,18429,19339
Small,B+C+Init_6hr,18429,19339
All,Baseline+Centrality,345830,357665
All,B+C+ANSP_2hr,345830,357665
All,B+C+Init_2hr,345830,357665
All,B+C+ANSP_3hr,345830,357665
All,B+C+Init_3hr,345830,357665
All,B+C+ANSP_6hr,345830,357665
All,B+C+Init_6hr,345830,357665
