Feature,All_Mean,All_Std,NotDelayed_Mean,NotDelayed_Std,Delayed_Mean,Delayed_Std
Arr_1hr_Prior_Num,20.787,17.7417,20.1355,17.7552,22.2749,17.6207
Arr_1hr_Post_Num,23.121,18.0198,23.3666,18.2325,22.5599,17.5114
Dep_1hr_Prior_Num,22.2117,17.4993,21.254,17.1885,24.3982,17.9991
Dep_1hr_Post_Num,22.9454,17.9447,22.8854,17.7864,23.0825,18.3004
Max_Temp_F,86.9539,10.7479,86.7099,10.8736,87.5109,10.4339
Min_Temp_F,67.9398,9.1674,67.5931,9.2511,68.7313,8.9232
Precip_In,0.0971,0.323,0.0793,0.2784,0.1377,0.4039
Avg_Wind_Speed_Kts,6.7342,2.3009,6.7338,2.3095,6.735,2.2812
Scheduled_Turnaround_Lessthan60,0.3427,0.4746,0.3088,0.462,0.42,0.4936
Betweenness_Centrality,0.011,0.0077,0.0107,0.0076,0.0117,0.0078
Closeness_Centrality,0.8071,0.0969,0.803,0.0977,0.8166,0.0944
ANSP_Score_2hr,1.5094,1.061,1.3364,1.0035,1.9044,1.0829
ANSP_Score_3hr,1.4558,1.0098,1.3285,0.9836,1.7464,1.0088
ANSP_Score_6hr,1.5932,1.2358,1.6336,1.3138,1.501,1.0304
Initial_z_score_2hr,1.4419,1.7391,1.1732,1.4749,2.0554,2.1029
Initial_z_score_3hr,1.3624,1.6089,1.1559,1.4094,1.8339,1.9087
Initial_z_score_6hr,1.6601,1.9591,1.6843,2.0202,1.6049,1.8108
N,705206.0,,490410.0,,214796.0,
