Hub,Feature,All_Mean,All_Std,NotDelayed_Mean,NotDelayed_Std,Delayed_Mean,Delayed_Std
Large,Arr_1hr_Prior_Num,20.0356,18.026,19.1525,18.0485,21.9364,17.8298
Large,Arr_1hr_Post_Num,22.9304,18.5008,22.9885,18.7541,22.8054,17.9429
Large,Dep_1hr_Prior_Num,26.3956,17.3915,25.4952,17.2696,28.3337,17.4946
Large,Dep_1hr_Post_Num,27.3141,17.7501,27.5491,17.5719,26.8082,18.1174
Large,Max_Temp_F,86.6229,11.0538,86.3339,11.2063,87.2451,10.6917
Large,Min_Temp_F,67.7712,9.226,67.4105,9.3163,68.5476,8.9796
Large,Precip_In,0.101,0.3287,0.0818,0.282,0.1425,0.4085
Large,Avg_Wind_Speed_Kts,6.744,2.2941,6.747,2.3042,6.7376,2.2722
Large,Scheduled_Turnaround_Lessthan60,0.2989,0.4578,0.2638,0.4407,0.3744,0.484
Large,Betweenness_Centrality,0.0132,0.0071,0.0131,0.007,0.0136,0.0072
Large,Closeness_Centrality,0.8431,0.0678,0.8415,0.067,0.8466,0.0693
Large,ANSP_Score_2hr,1.5512,1.0847,1.3694,1.0246,1.9425,1.1068
Large,ANSP_Score_3hr,1.5021,1.0232,1.3706,0.9941,1.7852,1.0276
Large,ANSP_Score_6hr,1.6577,1.2311,1.7085,1.3089,1.5484,1.0357
Large,Initial_z_score_2hr,1.697,1.8503,1.3936,1.581,2.3503,2.1882
Large,Initial_z_score_3hr,1.5927,1.7089,1.359,1.5058,2.0956,1.9887
Large,Initial_z_score_6hr,1.9232,2.0763,1.9651,2.1553,1.833,1.8922
Large,N,554850.0,,378845.0,,176005.0,
Medium,Arr_1hr_Prior_Num,22.3335,15.7985,22.3666,15.8253,22.2426,15.7242
Medium,Arr_1hr_Post_Num,22.2516,15.2512,23.0644,15.3884,20.012,14.6353
Medium,Dep_1hr_Prior_Num,8.0901,3.8537,8.2381,3.8819,7.6831,3.7452
Medium,Dep_1hr_Post_Num,8.154,3.8755,8.4766,3.8264,7.2666,3.871
Medium,Max_Temp_F,88.1601,9.5013,87.8782,9.6237,88.935,9.1118
Medium,Min_Temp_F,68.5826,9.148,68.1385,9.2118,69.8035,8.8563
Medium,Precip_In,0.0691,0.2385,0.0595,0.2178,0.0954,0.2863
Medium,Avg_Wind_Speed_Kts,6.7262,2.3997,6.721,2.4039,6.7405,2.388
Medium,Scheduled_Turnaround_Lessthan60,0.4965,0.5,0.4524,0.4977,0.6177,0.486
Medium,Betweenness_Centrality,0.0034,0.0028,0.0033,0.0028,0.0036,0.003
Medium,Closeness_Centrality,0.6993,0.0594,0.6977,0.0586,0.7038,0.0612
Medium,ANSP_Score_2hr,1.4183,0.9917,1.2724,0.954,1.8197,0.9828
Medium,ANSP_Score_3hr,1.3688,0.9581,1.2637,0.9516,1.6577,0.9157
Medium,ANSP_Score_6hr,1.4075,1.2019,1.4331,1.2783,1.3372,0.9579
Medium,Initial_z_score_2hr,0.6011,0.7033,0.5123,0.6432,0.8455,0.7973
Medium,Initial_z_score_3hr,0.6125,0.7216,0.5599,0.7032,0.7572,0.7511
Medium,Initial_z_score_6hr,0.8148,1.0259,0.8707,1.0833,0.6613,0.8293
Medium,N,111298.0,,81610.0,,29688.0,
Small,Arr_1hr_Prior_Num,27.066,17.365,26.4982,17.1073,28.9375,18.0637
Small,Arr_1hr_Post_Num,28.3076,17.5429,28.9756,17.7561,26.1058,16.6332
Small,Dep_1hr_Prior_Num,3.0082,2.0414,3.0738,2.0902,2.7922,1.8557
Small,Dep_1hr_Post_Num,3.0273,2.0422,3.1565,2.0864,2.602,1.826
Small,Max_Temp_F,88.2187,9.243,88.2829,9.3363,88.0073,8.9261
Small,Min_Temp_F,68.5033,8.2378,68.4174,8.3876,68.7858,7.718
Small,Precip_In,0.1224,0.4316,0.1038,0.3662,0.1835,0.5941
Small,Avg_Wind_Speed_Kts,6.618,2.0983,6.603,2.1003,6.6673,2.0911
Small,Scheduled_Turnaround_Lessthan60,0.5274,0.4993,0.4877,0.4999,0.658,0.4744
Small,Betweenness_Centrality,0.0012,0.0015,0.0012,0.0016,0.0011,0.0015
Small,Closeness_Centrality,0.6028,0.0312,0.6025,0.0317,0.6036,0.0296
Small,ANSP_Score_2hr,1.1752,0.8055,1.0941,0.8027,1.4423,0.7553
Small,ANSP_Score_3hr,1.046,0.8382,0.9734,0.8439,1.2848,0.7726
Small,ANSP_Score_6hr,1.2065,1.2741,1.2329,1.3407,1.1198,1.02
Small,Initial_z_score_2hr,0.2125,0.3376,0.1861,0.3145,0.2993,0.3921
Small,Initial_z_score_3hr,0.2282,0.351,0.211,0.339,0.2846,0.3825
Small,Initial_z_score_6hr,0.3309,0.5213,0.3489,0.5365,0.2716,0.4629
Small,N,39058.0,,29955.0,,9103.0,
